Ciudad,CoordenadaX,CoordenadaY
Panamá,	8.9936, -79.51973
San Miguelito,	9.05032, -79.47068
Arraiján,	8.95187, -79.66011
Las Cumbres,	9.08916, -79.52809
La Chorrera,	8.88028, -79.78333
Tocumen,	9.08939, -79.3831
San Vicente,	9.11445, -79.59755
Veracruz,	8.88988, -79.62603
Guadalupe,	8.85452, -79.81408
Pacora,	9.07937, -79.28997
Las Margaritas,	9.18426, -79.0873
San José,	8.93333, -79.73333
El Progreso,	9.26667, -79.11667
Las Margaritas,	9.32603, -79.89028
Atalaya,	8.04213, -80.92528
San Felipe,	8.95118, -79.53726
Progreso,	8.44669, -82.83859
Santa Marta,	8.51406, -82.6987
Achutupo,	9.19827, -77.98729
Ustupo,	9.13112, -77.9262
