"",n,%,n,%
"Total, País","26,435",100.0,"3,063,524",100.0
"",,,,
"Área geográfica",,,,
Urbana,"13,180",49.9,"1,854,808",60.5
Rural Total,"13,255",50.1,"1,208,716",39.5
Rural no indígena,"10,269",38.8,"971,977",31.7
Rural indígena,"2,986",11.3,"236,739",7.7
"",,,,
Línea de Pobreza,,,,
No pobre,"14,794",56.0,"1,935,113",63.2
Pobreza Total,"11,641",44.0,"1,128,411",36.8
Extrema,"6,032",22.8,"508,737",16.6
No extrema,"5,609",21.2,"619,674",20.2
"",,,,
Dominio,,,,
Ciudad de Panamá,"2,198",8.3,"418,739",13.7
Resto Distrito  Panamá,"1,605",6.1,"288,170",9.4
Distrito de San Miguelito,"1,808",6.8,"302,015",9.9
Panamá Oeste,"2,739",10.4,"391,752",12.8
Panamá Este,"1,443",5.5,"42,769",1.4
Bocas del Toro,"2,593",9.8,"79,736",2.6
Coclé,"1,662",6.3,"215,253",7.0
Colón,"1,512",5.7,"218,056",7.1
Chiriquí,"2,066",7.8,"411,059",13.4
Darién,"1,400",5.3,"41,276",1.3
Herrera,"1,452",5.5,"101,010",3.3
Los Santos,"1,332",5.0,"95,594",3.1
Veraguas,"1,639",6.2,"221,356",7.2
"Áreas indígenas","2,986",11.3,"236,739",7.7
