"",N,N,%,%,%,%,%
"Total, País","2,891","313,079",6.8,22.1,57.9,9.2,4.1
"Área geográfica",,,,,,,
Urbana,"1,270","171,818",4.1,18.5,60.7,11.0,5.8
Rural Total,"1,621","141,261",10.0***,26.6,54.5,6.9,2.0***
Rural no indígena,"1,110","101,956",5.6,24.3,59.0,8.5,2.6**
Rural indígena,511,"39,305",21.5***,32.5,42.6,2.8,0.6***
Línea de Pobreza,,,,,,,
No Pobre,"1,123","144,158",2.1,16.7,61.9,13.1,6.3
Pobreza Total,"1,768","168,921",10.7***,26.8,54.4,5.8,2.2***
Extrema,"1,060","89,137",16.3***,31.6,47.2,3.8,1.1***
No extrema,708,"79,784",4.6*,21.5,62.4,7.9,3.5*
