"",N,N,%,%,%,%,%
"Total, País","2,891","313,079",6.8,22.1,57.9,9.2,4.1
Ciudad de Panamá,160,"28,905",4.8,20.9,56.0,11.5,6.8
Resto del Distrito Panamá,174,"31,394",3.7,22.3,58.8,10.7,4.4
Distrito de San Miguelito,162,"26,722",3.0,16.6,61.4,15.1,3.9
Panamá Oeste,274,"39,949",8.2,18.0,60.6,9.3,3.9
Panamá Este,177,"5,446",4.6,23.3,55.8,13.0,3.3
Bocas del Toro,368,"11,557",4.4,24.0,62.4,7.1,2.2
Coclé,160,"21,647",7.0,33.1,51.8,4.5,3.7
Colón,168,"25,052",2.8,17.7,63.0,10.6,5.9
Chiriquí,207,"41,624",3.9,17.8,63.1,10.1,5.1
Darién,166,"4,865",5.4,25.1,58.2,7.6,3.7
Herrera,109,"7,946",0.5,18.8,64.0,13.1,3.6
Los Santos,94,"7,183",3.0,9.4,63.0,18.0,6.6
Veraguas,161,"21,485",4.6,25.4,61.3,4.9,3.9
"Áreas indígenas",511,"39,305",21.5,32.5,42.6,2.8,0.6
