"",N,N,%,%,%
"Total, País","2,837","308,882",20.6,22.1,57.3
Dominio,,,,,
Ciudad de Panamá,160,"29,051",12.1,21.3,66.6
Resto del Distrito Panamá,173,"31,301",17.9,21.3,60.8
Distrito de San Miguelito,162,"26,705",5.4*,20.2,74.5
Panamá Oeste,276,"40,319",13.5,24.5,62.0
Panamá Este,176,"5,384",22.0,22.8,55.2
Bocas del Toro,369,"11,605",26.0**,26.3,47.8
Coclé,155,"21,002",23.4*,26.6,49.9
Colón,160,"24,154",13.5,19.4,67.1
Chiriquí,205,"41,280",12.0,20.0,68.0
Darién,154,"4,552",12.5,33.1,54.5
Herrera,108,"7,877",14.3,18.8,66.9
Los Santos,96,"7,327",14.9,17.4,67.7
Veraguas,149,"20,228",29.4**,19.9,50.8
"Áreas indígenas",494,"38,096",56.6***,23.5,19.9*
