"",N,N,%,%,%,%,%
"Total, País","2,801","303,439",1.3,9.2,66.4,13.8,9.3
"Área geográfica",,,,,,,
Urbana,"1,231","166,456",1.3,9.0,66.1,13.4,10.3
Rural Total,"1,570","136,983",1.3,9.5,66.8,14.3,8.1
Rural no indígena,"1,068","98,285",1.4,9.6,69.0,12.4,7.6
Rural indígena,502,"38,697",1.2,9.0,61.0,19.3,9.5
"",,,,,,,
Línea de Pobreza,,,,,,,
No pobre,"1,098","140,905",0.8,8.9,64.0,16.2,10.1
Pobreza,"1,703","162,534",1.7,9.4,68.5,11.7,8.6
Extrema,"1,023","86,233",2.0,9.9,65.6,14.4,8.0
No extrema,680,"76,301",1.5,8.8,71.8,8.7,9.2
