"",N,N,%,%,%,%,%
"Total, País","2,801","303,439",1.3,9.2,66.4,13.8,9.3
Dominio,,,,,,,
Ciudad de Panamá,155,"28,105",1.4,11.0,66.2,11.7,9.7
Resto del Distrito Panamá,166,"29,880",2.4,8.0,70.9,8.8,9.9
Distrito de San Miguelito,161,"26,578",1.0,12.4,68.7,11.4,6.5
Panamá Oeste,269,"39,135",1.3,9.8,70.2,13.0,5.7
Panamá Este,168,"5,138",1.0,5.3,65.6,14.9,13.3
Bocas del Toro,362,"11,223",0.6,6.9,69.9,17.5,5.2
Coclé,152,"20,542",1.3,12.6,69.2,7.4,9.5
Colón,159,"23,996",0.6,9.0,61.6,16.9,12.0
Chiriquí,201,"40,284",2.1,7.6,66.3,15.9,8.0
Darién,155,"4,591",0.9,7.1,74.7,5.0*,12.3
Herrera,107,"7,804",0.0,9.0,62.1,17.5,11.4
Los Santos,93,"7,119",0.0,9.1,56.9,16.8,17.2
Veraguas,151,"20,347",0.7,6.1,64.6,14.3,14.3
"Áreas indígenas",502,"38,697",1.2,9.0,61.0,19.3,9.5
