"",N,N,%,%,%
ENV 1997,,,,,
"Total, País","2,268","274,972",14.2,22.0,63.8
Sexo,,,,,
Masculino,"1,157","139,108",15.5,23.7,60.7
Femenino,"1,111","135,863",12.9,20.2,66.9
Edad,,,,,
0 – 5 meses,234,"29,151",4.3,13.2,82.6
6 –35 meses,"1,166","140,339",12.2,21.9,65.8
35 – 59 meses,868,"105,481",19.7,24.5,55.9
"",,,,,
ENV 2003,,,,,
"Total, País","2,837","308,882",20.6,22.1,57.4
Sexo,,,,,
Masculino,"1,468","160,104",21.8,23.1,55.1
Femenino,"1,369","148,777",19.2,21.0,59.8
Edad,,,,,
0 – 5 meses,296,"33,866",13.3,15.5,71.3
6 –35 meses,"1,367","149,492",20.2,22.9,56.9
35 – 59 meses,"1,174","125,523",23.0,22.0,54.2
