"",N,N,%,%,%
ENV 1997,,,,,
"Total, País","2,268","274,972",14.2,22.0,63.8
"Área geográfica",,,,,
Urbana,866,131158,5.7,16.6,77.7
Rural Total,1402,143814,22.1,26.9,51.1
Rural no indígena,975,111529,14.4,27.1,58.6
Rural indígena,427,32285,48.5,25.9,25.5
Pobreza,,,,,
No pobre,891,128621,4.3,16.2,79.5
Pobreza Total,1377,146350,23.0,27.1,50.0
Extrema,858,81736,33.3,30.5,36.2
No extrema,519,64615,9.9,22.7,67.4
"",,,,,
ENV 2003,,,,,
Total,"2,837","308,882",20.6,22.1,57.4
"Área",,,,,
Urbana,1263,171317,13.8,19.7,66.5
Rural Total,1574,137564,29.0,25.1,46.0
"- Rural  no indígena",1080,99468,18.5,25.7,55.9
"- Rural indígena",494,38096,56.6,23.5,19.9
Pobreza,,,,,
No pobre,1124,145244,10.2,18.4,71.4
Pobreza Total,1713,163637,29.8,25.3,44.9
Extrema,1022,85933,39.6,29.3,31.1
No extrema,691,77704,19.1,20.9,60.1
