"",N,N,%,%,%
ENV 1997,,,,,
"Total, País","2,268","274,972",14.2,22.0,63.8
"Área geográfica",,,,,
Urbana,866,131158,5.7,16.6,77.7
Rural Total,1402,143814,22.1,26.9,51.1
Rural no indígena,975,111529,14.4,27.1,58.6
Rural indígena,427,32285,48.5,25.9,25.5
Pobreza,,,,,
No pobre,891,128621,4.3,16.2,79.5
Pobreza Total,1377,146350,23.0,27.1,50.0
Extrema,858,81736,33.3,30.5,36.2
No extrema,519,64615,9.9,22.7,67.4
"",,,,,
ENV 2003,,,,,
Total,"2,837","308,882",20.6,22.1,57.4
"Área",,,,,
Urbana,1263,171317,13.8,19.7,66.5
Rural Total,1574,137564,29.0,25.1,46.0
"- Rural  no indígena",1080,99468,18.5,25.7,55.9
"- Rural indígena",494,38096,56.6,23.5,19.9
Pobreza,,,,,
No pobre,1124,145244,10.2,18.4,71.4
Pobreza Total,1713,163637,29.8,25.3,44.9
Extrema,1022,85933,39.6,29.3,31.1
No extrema,691,77704,19.1,20.9,60.1
"",N,N,%,%,%,%,%
ENV 1997,,,,,,,
"Total, País","2,261","274,166",1.0,11.2,71.0,12.3,4.6
Sexo,,,,,,,
Masculino,"1,153","138,605",1.1,11.6,71.4,12.0,3.9
Femenino,"1,108","135,560",0.8,10.8,70.6,12.5,5.3
Edad,,,,,,,
0 – 5 meses,231,"28,853",0.0,5.3,69.4,21.1,4.2
6 –35 meses,"1,164","140,007",1.2,12.9,71.6,9.8,4.6
35 – 59 meses,866,"105,306",0.9,10.6,70.7,13.1,4.7
"",,,,,,,
ENV 2003,,,,,,,
"Total, País","2,801","303,439",1.3,9.2,66.4,13.8,9.3
Sexo,,,,,,,
Masculino,"1,442","156,662",1.4,9.6,67.5,12.2,9.4
Femenino,"1,359","146,777",1.2,8.8,65.3,15.5,9.2
Edad,,,,,,,
0 – 5 meses,264,"30,336",1.2,3.3,66.8,21.4,7.3
6 –35 meses,"1,356","147,176",1.4,12.1,63.4,12.8,10.2
35 – 59 meses,"1,181","125,927",1.1,7.2,69.8,13.1,8.7
"",N,N,%,%,%,%,%
ENV 1997,,,,,,,
"Total, País","2,261","274,166",1.0,11.2,71.0,12.3,4.6
"Área geográfica",,,,,,,
Urbana,862,"130,520",0.6,9.7,70.1,13.3,6.3
Rural Total,"1,399","143,646",1.2,12.6,71.8,11.3,3.1
Rural no indígena,976,"111,638",1.1,13.1,72.0,10.9,2.9
Rural indígena,423,"32,007",1.8,10.6,71.2,12.5,3.8
Pobreza,,,,,,,
No pobre,891,"128,515",0.5,9.2,69.0,14.7,6.6
Pobreza Total,"1,370","145,651",1.3,13.0,72.8,10.1,2.9
Extrema,852,"81,178",1.5,14.3,72.4,9.3,2.5
No extrema,518,"64,473",1.1,11.2,73.2,11.1,3.3
"",,,,,,,
ENV 2003,,,,,,,
Total,"2,801","303,439",1.3,9.2,66.4,13.8,9.3
"Área",,,,,,,
Urbana,"1,231","166,456",1.3,9.0,66.2,13.4,10.3
Rural Total,"1,570","136,983",1.3,9.5,66.8,14.3,8.1
"- Rural  no indígena","1,068","98,285",1.4,9.6,69.0,12.4,7.6
"- Rural indígena",502,"38,697",1.2,9.0,61.0,19.3,9.5
Pobreza,,,,,,,
No pobre,"1,098","140,905",0.8,9.0,64.0,16.2,10.1
Pobreza Total,"1,703","162,534",1.8,9.4,68.5,11.7,8.6
Extrema,"1,023","86,233",2.0,9.9,65.6,14.4,8.0
No extrema,680,"76,301",1.5,8.8,71.9,8.7,9.2
