Province,long,lat
Bocas del Toro,-82.5793162844094,9.214783257596991
Chiriquí,-82.3984940022387,8.489045376984762
Coclé,-80.42621767931894,8.557446027185955
Colón,-80.01406582238154,9.189316250628321
Darién,-77.9158002028717,8.170134326790635
Emberá,-77.7650470861424,8.232835672012136
Herrera,-80.70050974689245,7.854820912866705
Kuna Yala,-78.31549501975601,9.174796186850152
Los Santos,-80.39270222257987,7.5824841272492325
Ngöbe Buglé,-81.77034763947196,8.65810248617771
Panamá Oeste,-79.90446593496681,8.824692051722279
Panamá,-78.85174438361325,9.066192179121542
Veraguas,-81.13151401037655,8.091252214930318
Distrito de San Miguelito,-79.47068, 9.05032
